ROUND,AI RANK,STATE,INSTITUTE,COURSE,QUOTA,CATEGORY,FEE,STIPEND,BOND YRS,BEDS
1,1,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 51,000","₹ 1,36,008",1,1626
1,2,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,AIQ,GEN,"₹ 69,470","₹ 57,876",1,3025
1,3,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 51,000","₹ 1,36,008",1,1626
1,4,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹ 15,000","₹ 1,20,965",1,1550
1,5,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 51,000","₹ 1,36,008",1,1626
1,6,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 51,000","₹ 1,36,008",1,1626
1,7,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 51,000","₹ 1,36,008",1,1626
1,8,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,GEN,"₹ 1,23,400","₹ 56,250",1,1993
1,9,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,GEN,"₹ 50,000","₹ 54,025",2,7285
1,10,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 51,000","₹ 1,36,008",1,1626
1,11,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹ 15,000","₹ 1,20,965",1,1550
1,12,Tamil Nadu,"Madras Med Coll, Chennai",OBG,AIQ,GEN,"₹ 50,000","₹ 54,025",2,7285
1,13,Punjab,"Govt Med Coll, Patiala",GENERAL MEDICINE,AIQ,GEN,"₹ 1,25,000","₹ 76,000",2,1130
1,14,Delhi,"VMMC, Delhi",OBG,AIQ,GEN,"₹ 15,000","₹ 1,20,965",1,1550
1,15,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 51,000","₹ 1,36,008",1,1626
1,16,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,AIQ,GEN,"₹ 72,000","₹ 1,16,844",1,1498
1,17,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,AIQ,GEN,"₹ 30,000","₹ 1,00,800",1,1557
1,18,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,GEN,"₹ 14,093","₹ 87,216",2,5702
1,19,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"₹ 30,000","₹ 1,00,800",1,1557
1,20,Kerala,"Govt Med Coll, Kozhikode",DERMATOLOGY,AIQ,GEN,"₹ 69,470","₹ 57,876",1,3025
1,21,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹ 15,000","₹ 1,20,965",1,1550
1,22,Telangana,"Osmania Med Coll, Hyderabad",GENERAL SURGERY,AIQ,GEN,"₹ 15,000","₹ 67,032",1,4800
1,23,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹ 15,000","₹ 1,20,965",1,1550
1,24,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,"₹ 1,57,100","₹ 93,559",1,2250
1,25,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹ 15,000","₹ 1,20,965",1,1550
1,26,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,GEN,"₹ 1,23,400","₹ 56,250",1,1993
1,27,Odisha,"SCB, Cuttack",GENERAL MEDICINE,AIQ,GEN,"₹ 35,000","₹ 73,042",2,2106
1,28,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,GEN,"₹ 50,000","₹ 54,025",2,7285
1,29,Delhi,"ABVIMS (Dr RML Hosp), Delhi",DERMATOLOGY,AIQ,GEN,"₹ 51,000","₹ 1,36,008",1,1626
1,30,Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 15,000","₹ 1,20,965",1,1550
1,31,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,AIQ,OBC,"₹ 72,000","₹ 1,16,844",1,1498
1,32,Uttar Pradesh,"SGPGI, Lucknow",NUCLEAR MEDICINE,AIQ,GEN,"₹ 35,000","₹ 1,15,506",2,1609
1,33,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"₹ 30,000","₹ 1,00,800",1,1557
1,34,Delhi,"MAMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 16,200","₹ 1,32,336",1,2800
1,35,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,AIQ,GEN,"₹ 69,470","₹ 57,876",1,3025
1,36,Delhi,"Lady Hardinge, Delhi",PAEDIATRICS,AIQ,GEN,"₹ 16,200","₹ 1,26,927",1,877
1,37,Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 15,000","₹ 1,20,965",1,1550
1,38,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,OBC,"₹ 15,000","₹ 1,20,965",1,1550
1,39,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,AIQ,GEN,"₹ 34,500","₹ 1,09,926",0,967
